population,size,pop#,corruption#,linkageRecipe-approach,threshold,metric,max-sibling-gap,tp,fp,fn,precision,recall,f-measure,link-time-seconds,max-memory-usage,#ROs,code-version,hostname,linkageRecipe-fields
synthetic-scotland,133k,1,0,sibling-birth-bundler,0.67,BAG_DISTANCE,40,205430,25043,0,0.8913,1.0000,0.9425,8305,1169693816,70,799f9bfcecdce053d602d8a790afee31b42d65d9,sif-4.cluster,"FATHER_FORENAME, FATHER_SURNAME, MOTHER_FORENAME, MOTHER_MAIDEN_SURNAME, PARENTS_PLACE_OF_MARRIAGE, PARENTS_DAY_OF_MARRIAGE, PARENTS_MONTH_OF_MARRIAGE, PARENTS_YEAR_OF_MARRIAGE"
synthetic-scotland,133k,1,0,sibling-birth-bundler,0.67,BAG_DISTANCE,40,205430,25043,0,0.8913,1.0000,0.9425,8493,3284806272,110,799f9bfcecdce053d602d8a790afee31b42d65d9,sif-9.cluster,"FATHER_FORENAME, FATHER_SURNAME, MOTHER_FORENAME, MOTHER_MAIDEN_SURNAME, PARENTS_PLACE_OF_MARRIAGE, PARENTS_DAY_OF_MARRIAGE, PARENTS_MONTH_OF_MARRIAGE, PARENTS_YEAR_OF_MARRIAGE"
synthetic-scotland,133k,3,0,sibling-birth-bundler,0.67,JENSEN_SHANNON,25,206972,5920,370,0.9722,0.9982,0.9850,4347,4071640712,70,799f9bfcecdce053d602d8a790afee31b42d65d9,sif-3.cluster,"FATHER_FORENAME, FATHER_SURNAME, MOTHER_FORENAME, MOTHER_MAIDEN_SURNAME, PARENTS_PLACE_OF_MARRIAGE, PARENTS_DAY_OF_MARRIAGE, PARENTS_MONTH_OF_MARRIAGE, PARENTS_YEAR_OF_MARRIAGE"
synthetic-scotland,133k,4,0,sibling-birth-bundler,0.67,JENSEN_SHANNON,25,206826,4549,365,0.9785,0.9982,0.9883,4529,3027614680,70,799f9bfcecdce053d602d8a790afee31b42d65d9,hogun-11.cluster,"FATHER_FORENAME, FATHER_SURNAME, MOTHER_FORENAME, MOTHER_MAIDEN_SURNAME, PARENTS_PLACE_OF_MARRIAGE, PARENTS_DAY_OF_MARRIAGE, PARENTS_MONTH_OF_MARRIAGE, PARENTS_YEAR_OF_MARRIAGE"
synthetic-scotland,13k,1,0,sibling-birth-bundler,0.67,BAG_DISTANCE,25,20862,232,49,0.9890,0.9977,0.9933,92,4115827544,70,799f9bfcecdce053d602d8a790afee31b42d65d9,hogun-11.cluster,"FATHER_FORENAME, FATHER_SURNAME, MOTHER_FORENAME, MOTHER_MAIDEN_SURNAME, PARENTS_PLACE_OF_MARRIAGE, PARENTS_DAY_OF_MARRIAGE, PARENTS_MONTH_OF_MARRIAGE, PARENTS_YEAR_OF_MARRIAGE"
synthetic-scotland,13k,1,1,sibling-birth-bundler,0.67,BAG_DISTANCE,25,19146,188,1765,0.9903,0.9156,0.9515,96,4141109576,70,799f9bfcecdce053d602d8a790afee31b42d65d9,hogun-11.cluster,"FATHER_FORENAME, FATHER_SURNAME, MOTHER_FORENAME, MOTHER_MAIDEN_SURNAME, PARENTS_PLACE_OF_MARRIAGE, PARENTS_DAY_OF_MARRIAGE, PARENTS_MONTH_OF_MARRIAGE, PARENTS_YEAR_OF_MARRIAGE"
synthetic-scotland,13k,1,2,sibling-birth-bundler,0.67,BAG_DISTANCE,25,17512,181,3399,0.9898,0.8375,0.9073,98,4250299344,70,799f9bfcecdce053d602d8a790afee31b42d65d9,hogun-11.cluster,"FATHER_FORENAME, FATHER_SURNAME, MOTHER_FORENAME, MOTHER_MAIDEN_SURNAME, PARENTS_PLACE_OF_MARRIAGE, PARENTS_DAY_OF_MARRIAGE, PARENTS_MONTH_OF_MARRIAGE, PARENTS_YEAR_OF_MARRIAGE"
synthetic-scotland,13k,2,0,sibling-birth-bundler,0.67,BAG_DISTANCE,25,19464,200,31,0.9898,0.9984,0.9941,88,4250299344,70,799f9bfcecdce053d602d8a790afee31b42d65d9,hogun-11.cluster,"FATHER_FORENAME, FATHER_SURNAME, MOTHER_FORENAME, MOTHER_MAIDEN_SURNAME, PARENTS_PLACE_OF_MARRIAGE, PARENTS_DAY_OF_MARRIAGE, PARENTS_MONTH_OF_MARRIAGE, PARENTS_YEAR_OF_MARRIAGE"
synthetic-scotland,13k,2,1,sibling-birth-bundler,0.67,BAG_DISTANCE,25,17558,173,1937,0.9902,0.9006,0.9433,89,4502489320,70,799f9bfcecdce053d602d8a790afee31b42d65d9,hogun-11.cluster,"FATHER_FORENAME, FATHER_SURNAME, MOTHER_FORENAME, MOTHER_MAIDEN_SURNAME, PARENTS_PLACE_OF_MARRIAGE, PARENTS_DAY_OF_MARRIAGE, PARENTS_MONTH_OF_MARRIAGE, PARENTS_YEAR_OF_MARRIAGE"
synthetic-scotland,133k,5,0,sibling-birth-bundler,0.67,JENSEN_SHANNON,25,204977,5433,430,0.9742,0.9979,0.9859,4439,4362863176,70,799f9bfcecdce053d602d8a790afee31b42d65d9,sif-4.cluster,"FATHER_FORENAME, FATHER_SURNAME, MOTHER_FORENAME, MOTHER_MAIDEN_SURNAME, PARENTS_PLACE_OF_MARRIAGE, PARENTS_DAY_OF_MARRIAGE, PARENTS_MONTH_OF_MARRIAGE, PARENTS_YEAR_OF_MARRIAGE"
