name	count
SANNY SAMUELA	1
FREDRIK HARALD	4
OL KONR	1
CHARLOTTA ELEAI.	1
KARL ROBERT WILHELM	1
GRETA MAGD¤	1
ERIC AUGUSTIN	5
KARL HERMAN	43
CAROLINA FREDRICA ELVIRA	2
NANCY ADELA	1
GILLIS HILDING	1
BERTHA SOFIA ELISABET	1
PER ALLGOT	1
IDA SOFIA ELISABETH	1
DOROTHA VILH.	1
ALMA WILHELMINA	15
WENDELA KAROL.	1
INGA TERESIA	3
BERNHARDINA EUGENIA VIKTORIA	5
PETRUS AUGUST	8
PER HELMER EMANUEL	1
AGATHE PAULINE	1
JON GUSTAF ANDREAS	1
SIXTEN JOHAN AUGUST	1
MÄRTA JOSEFINA KRISTINA	1
ADOLF PETTER	2
TURE BERNHARD	1
CARL HIND:	1
EMELINDA KRISTINA	1
SARA MARIANA	10
LARS EDWARD	4
FRANS JOHAN WILLIAM	1
SOFIA [JOHAN] CHARLOTTA	1
AURORA KRISTINA	4
HUGO LAURENTIUS	2
FRITIOF BIRGER	1
SIGRID FREDRIKA	9
ANDERS TYKO	1
EMILIA SOFIA VALERIA	1
CAISA SYNA	1
HELLY AMANDA	1
ALBIN SELMER	1
ANDREAS GEORG	1
JONAS OTTO	58
CATHARINA JUSTINA	2
VICTOR BIRGER EMANUEL	1
CAROL. CHRISTI.	1
PER JOHAN EDWAR	1
ISAC MARTIN	5
AUGUSTA MATHILDA	42
NILS ERIK FERDINAND	2
¤BARN	1
IVAN EMIL WILHÄM	1
VIKTOR EVERT	3
ALMA KARIN	2
OL. ULR.	1
CAROLINA LUCIA	2
LISA KATARINA	36
ANDERS FILIP	1
AXEL ISEDOR	1
VAHLBORG HELENA	1
ALBERT EDVARD MAURITZ	2
HULDA MARIA MARG.	1
GRETA MAGD.	36
MARGARETA KRISTINA FLORIDA	1
AND. THEODOR	1
LOIZA	1
GERDA VIKTORIA	8
VICTOR EMANUEL	30
HILDEGARD REGINA	1
SIGRID (INGRID) KAJSA	1
ANTON THEODOR ENGELBERT	1
SVEA VILHELMINA	3
PER PONTUS	1
ANNALENA	2
¤OH:A	1
JULIA ALEXANDRA	3
CATRINA CHARLOTTA	3
SVERKER	20
ANNA ER.	9
HEDDA JOHANNA	54
ANDERS NILS BRYNOLF	2
BERTA ELINE KRISTINA	1
A. PETER	2
KLARA MARGRETHA	5
SVERKEL	2
EUFROSYNA AMALIA	11
ELLEN LOUISE	1
HENRIK MATTIAS	3
JOHAN ANDERS BERNHARD	1
AMALIA CHR.	5
MIK. OL.	2
ALBERT. MAGDAL.	1
MARIA CHARLOTTA MAGDALENA	5
JOH:A KAT.	1
JOH. JUSTUNUS	1
CATH. JOH.	21
DINA	2
